comparison,g1,g2,layer,metric,g1_mean,g2_mean,cohens_d,p_value,significant
CoT Success vs Direct Failure,G4,G1,0,speed,0.5583212017478429,0.4165614332385391,2.677313424470051,0.0,True
CoT Success vs Direct Failure,G4,G1,0,dir_consistency,0.04474615512808337,0.3368409519585279,-2.748965452902108,0.0,True
CoT Success vs Direct Failure,G4,G1,0,stabilization,0.0009220533209285273,-0.1189930973883178,1.5926157134410877,0.0,True
CoT Success vs Direct Failure,G4,G1,0,turning_angle,2.0243091903994435,1.9305958028747003,0.6419808427638292,0.0,True
CoT Success vs Direct Failure,G4,G1,0,dir_autocorr,-0.4326328607150792,-0.3344551983683911,-0.9027508668912652,0.0,True
CoT Success vs Direct Failure,G4,G1,0,tortuosity,0.03561751480995268,0.4215316359511754,-2.542247678682055,0.0,True
CoT Success vs Direct Failure,G4,G1,0,effective_dim,8.597032795037924,2.3540138032238556,5.658827007924889,0.0,True
CoT Success vs Direct Failure,G4,G1,0,cos_slope,-0.0020334131686103787,0.1246883262651496,-2.0644284216162685,0.0,True
CoT Success vs Direct Failure,G4,G1,0,dist_slope,0.001119871476834043,-0.11467506352433529,1.7751730170682682,0.0,True
CoT Success vs Direct Failure,G4,G1,0,early_late_ratio,0.8920677411182044,45.35233203891063,-0.3055180686501792,0.0,False
CoT Success vs Direct Failure,G4,G1,0,radius_of_gyration,0.409088069013416,0.3042932980456333,5.11114715485825,0.0,True
CoT Success vs Direct Failure,G4,G1,0,gyration_anisotropy,0.8537779204655364,0.853839385253986,-0.0015743473407159782,0.986,False
CoT Success vs Direct Failure,G4,G1,0,drift_to_spread,1.5061420138106751,1.845119389445193,-1.0452490646851462,0.0,True
CoT Success vs Direct Failure,G4,G1,0,dir_autocorr_lag2,-0.07570905169581593,-0.07533729298701207,-0.009310926358903857,0.95,False
CoT Success vs Direct Failure,G4,G1,0,dir_autocorr_lag4,0.10033993621883,0.07650641635474227,0.40249286848470767,0.014,False
CoT Success vs Direct Failure,G4,G1,0,dir_autocorr_lag8,-0.0066143031304622775,0.011415797259865546,-0.2550865516204325,0.124,False
CoT Success vs Direct Failure,G4,G1,0,vel_autocorr_lag1,-0.14594546648686244,-0.06664687784705876,-3.209481796192235,0.0,True
CoT Success vs Direct Failure,G4,G1,0,vel_autocorr_lag2,-0.022969797989687603,-0.02419976274212518,0.10255738988989832,0.5,False
CoT Success vs Direct Failure,G4,G1,0,vel_autocorr_lag4,0.03480443315927119,0.025963185070496428,0.4499529850904655,0.008,False
CoT Success vs Direct Failure,G4,G1,0,msd_exponent,0.04206193976129034,-0.023219833047664253,2.3864586006880253,0.0,True
CoT Success vs Direct Failure,G4,G1,0,cos_to_running_mean,0.595646522237581,0.8649904399980104,-6.055271346461355,0.0,True
CoT Success vs Direct Failure,G4,G1,0,cos_to_late_window,0.45855569117806955,0.6890380210346646,-4.091288795945007,0.0,True
CoT Success vs Direct Failure,G4,G1,0,time_to_commit,22.16591928251121,16.466666666666665,1.3344293949019654,0.0,True
CoT Success vs Direct Failure,G4,G1,0,recurrence_rate,0.03790865036887019,0.07822302384919265,-0.658014640967859,0.0,True
CoT Success vs Direct Failure,G4,G1,0,determinism,0.3731651138388325,0.1742949670377006,1.226277848723524,0.0,True
CoT Success vs Direct Failure,G4,G1,0,laminarity,0.06316532273078156,0.12481163157304281,-0.4132632560480213,0.0,False
CoT Success vs Direct Failure,G4,G1,0,trapping_time,2.0,2.004357298474946,-0.2019512657189734,0.484,False
CoT Success vs Direct Failure,G4,G1,0,diagonal_entropy,0.34666927120430474,0.834650594723302,-1.3633598185483542,0.0,True
CoT Success vs Direct Failure,G4,G1,0,psd_slope,-0.0574689759449974,0.3139677947753772,-0.9288931979260131,0.0,True
CoT Success vs Direct Failure,G4,G1,0,spectral_entropy,0.8852122174652816,0.9341163340428821,-1.4665663811433036,0.0,True
CoT Success vs Direct Failure,G4,G1,1,speed,5.996074086347503,5.096525075464596,2.3570237060750365,0.0,True
CoT Success vs Direct Failure,G4,G1,1,dir_consistency,0.03958710214549111,0.31550093253071493,-2.863652674365691,0.0,True
CoT Success vs Direct Failure,G4,G1,1,stabilization,0.0028515484473406053,-0.40661529677542835,0.8654091035749591,0.0,True
