problem_id,condition,group,correct,filename,n_layers,n_tokens,hidden_dim
0,direct,G1,False,0_direct.npy,25,4,896
0,cot,G4,True,0_cot.npy,25,65,896
1,direct,G1,False,1_direct.npy,25,5,896
1,cot,G4,True,1_cot.npy,25,73,896
2,direct,G2,True,2_direct.npy,25,25,896
2,cot,G4,True,2_cot.npy,25,67,896
3,direct,G1,False,3_direct.npy,25,4,896
3,cot,G4,True,3_cot.npy,25,69,896
4,direct,G1,False,4_direct.npy,25,26,896
4,cot,G4,True,4_cot.npy,25,127,896
5,direct,G1,False,5_direct.npy,25,4,896
5,cot,G3,False,5_cot.npy,25,128,896
6,direct,G1,False,6_direct.npy,25,4,896
6,cot,G4,True,6_cot.npy,25,65,896
7,direct,G1,False,7_direct.npy,25,4,896
7,cot,G4,True,7_cot.npy,25,73,896
8,direct,G1,False,8_direct.npy,25,4,896
8,cot,G4,True,8_cot.npy,25,66,896
9,direct,G1,False,9_direct.npy,25,4,896
9,cot,G3,False,9_cot.npy,25,128,896
10,direct,G2,True,10_direct.npy,25,25,896
10,cot,G4,True,10_cot.npy,25,128,896
11,direct,G1,False,11_direct.npy,25,28,896
11,cot,G4,True,11_cot.npy,25,71,896
12,direct,G1,False,12_direct.npy,25,4,896
12,cot,G4,True,12_cot.npy,25,67,896
13,direct,G2,True,13_direct.npy,25,13,896
13,cot,G4,True,13_cot.npy,25,67,896
14,direct,G2,True,14_direct.npy,25,26,896
14,cot,G4,True,14_cot.npy,25,70,896
15,direct,G1,False,15_direct.npy,25,4,896
15,cot,G4,True,15_cot.npy,25,67,896
16,direct,G1,False,16_direct.npy,25,4,896
16,cot,G4,True,16_cot.npy,25,65,896
17,direct,G1,False,17_direct.npy,25,28,896
17,cot,G3,False,17_cot.npy,25,89,896
18,direct,G1,False,18_direct.npy,25,3,896
18,cot,G4,True,18_cot.npy,25,63,896
19,direct,G1,False,19_direct.npy,25,5,896
19,cot,G4,True,19_cot.npy,25,73,896
20,direct,G1,False,20_direct.npy,25,4,896
20,cot,G4,True,20_cot.npy,25,67,896
21,direct,G2,True,21_direct.npy,25,25,896
21,cot,G4,True,21_cot.npy,25,73,896
22,direct,G1,False,22_direct.npy,25,5,896
22,cot,G4,True,22_cot.npy,25,94,896
23,direct,G2,True,23_direct.npy,25,25,896
