t_start,window_rg,window_speed,group,problem_id
0,10.805,14.56,G1,1
0,11.75,17.08,G1,17
1,11.85,16.95,G1,17
2,11.8,17.08,G1,17
3,11.734,16.81,G1,17
4,11.96,17.34,G1,17
5,11.45,16.17,G1,17
6,10.164,13.86,G1,17
7,9.75,13.375,G1,17
8,10.44,13.43,G1,17
9,10.984,14.11,G1,17
10,11.64,15.62,G1,17
11,11.7,15.16,G1,17
12,11.49,14.734,G1,17
13,11.445,15.66,G1,17
14,11.305,16.53,G1,17
15,11.37,16.81,G1,17
16,11.875,17.17,G1,17
17,11.58,16.66,G1,17
18,11.914,17.17,G1,17
19,12.48,17.48,G1,17
20,12.734,17.23,G1,17
21,12.07,16.95,G1,17
22,11.26,15.34,G1,17
23,11.1,14.94,G1,17
0,11.695,16.98,G1,214
1,11.63,16.88,G1,214
2,11.49,16.81,G1,214
3,11.47,16.6,G1,214
4,11.75,17.2,G1,214
5,11.33,16.03,G1,214
6,10.195,13.94,G1,214
7,9.87,13.414,G1,214
8,10.625,13.58,G1,214
9,11.3,14.484,G1,214
10,11.95,16.0,G1,214
11,11.99,15.61,G1,214
12,11.695,15.15,G1,214
13,11.42,15.67,G1,214
14,11.26,16.48,G1,214
15,11.23,16.66,G1,214
16,11.516,16.48,G1,214
17,11.36,16.4,G1,214
18,11.12,15.88,G1,214
19,12.27,17.14,G1,214
20,12.33,17.08,G1,214
21,12.13,17.0,G1,214
22,12.12,17.61,G1,214
23,12.1,17.14,G1,214
24,11.45,16.48,G1,214
25,11.625,16.53,G1,214
26,11.49,16.12,G1,214
27,11.914,16.7,G1,214
0,12.02,17.45,G1,244
1,11.84,17.06,G1,244
2,11.766,17.19,G1,244
3,11.766,16.86,G1,244
4,12.04,17.56,G1,244
5,11.5,16.47,G1,244
6,10.38,14.4,G1,244
7,10.1,14.06,G1,244
8,10.77,14.09,G1,244
9,11.41,14.95,G1,244
10,11.93,16.14,G1,244
11,11.91,15.61,G1,244
12,11.664,15.195,G1,244
13,11.4,15.69,G1,244
14,11.25,16.47,G1,244
15,11.34,16.77,G1,244
16,12.08,17.3,G1,244
17,11.95,17.11,G1,244
18,12.15,17.55,G1,244
