problem_id,condition,layer,metric,value
0,cot,0,next_layer_corr,0.0016743070708331758
0,cot,1,next_layer_corr,0.7974384909475313
0,cot,2,next_layer_corr,0.8650786385174233
0,cot,3,next_layer_corr,0.862049566503468
0,cot,4,next_layer_corr,0.8590671333502146
0,cot,5,next_layer_corr,0.8584720971411083
0,cot,6,next_layer_corr,0.8755157407164524
0,cot,7,next_layer_corr,0.8903970032453298
0,cot,8,next_layer_corr,0.9065697500451473
0,cot,9,next_layer_corr,0.9240456330700697
0,cot,10,next_layer_corr,0.9327183758144136
0,cot,11,next_layer_corr,0.9287140842183494
0,cot,12,next_layer_corr,0.9405341883269218
0,cot,13,next_layer_corr,0.9370712579015842
0,cot,14,next_layer_corr,0.9114119482906935
0,cot,15,next_layer_corr,0.908248749799329
0,cot,16,next_layer_corr,0.8709702232093771
0,cot,17,next_layer_corr,0.9270984732133517
0,cot,18,next_layer_corr,0.9378374233867598
0,cot,19,next_layer_corr,0.9291591859696933
0,cot,20,next_layer_corr,0.9249001824267733
0,cot,21,next_layer_corr,0.9379221059948222
0,cot,22,next_layer_corr,0.9406336715147814
0,cot,23,next_layer_corr,0.3945891714922777
0,cot,0,trajectory_curvature,2.6015625
0,cot,1,trajectory_curvature,2.607421875
0,cot,2,trajectory_curvature,2.591796875
0,cot,3,trajectory_curvature,2.572265625
0,cot,4,trajectory_curvature,2.55859375
0,cot,5,trajectory_curvature,2.55859375
0,cot,6,trajectory_curvature,2.5546875
0,cot,7,trajectory_curvature,2.55078125
0,cot,8,trajectory_curvature,2.54296875
0,cot,9,trajectory_curvature,2.541015625
0,cot,10,trajectory_curvature,2.5390625
0,cot,11,trajectory_curvature,2.53515625
0,cot,12,trajectory_curvature,2.53515625
0,cot,13,trajectory_curvature,2.529296875
0,cot,14,trajectory_curvature,2.52734375
0,cot,15,trajectory_curvature,2.529296875
0,cot,16,trajectory_curvature,2.525390625
0,cot,17,trajectory_curvature,2.529296875
0,cot,18,trajectory_curvature,2.53125
0,cot,19,trajectory_curvature,2.52734375
0,cot,20,trajectory_curvature,2.53125
0,cot,21,trajectory_curvature,2.53125
0,cot,22,trajectory_curvature,2.53515625
0,cot,23,trajectory_curvature,2.544921875
0,cot,24,trajectory_curvature,
0,cot,0,commitment_sharpness,1.33203125
0,cot,1,commitment_sharpness,1.2138671875
0,cot,2,commitment_sharpness,1.2353515625
0,cot,3,commitment_sharpness,1.326171875
0,cot,4,commitment_sharpness,1.314453125
0,cot,5,commitment_sharpness,1.29296875
0,cot,6,commitment_sharpness,1.3125
0,cot,7,commitment_sharpness,1.337890625
0,cot,8,commitment_sharpness,1.2939453125
0,cot,9,commitment_sharpness,1.265625
0,cot,10,commitment_sharpness,1.2373046875
0,cot,11,commitment_sharpness,1.2373046875
0,cot,12,commitment_sharpness,1.2490234375
0,cot,13,commitment_sharpness,1.240234375
0,cot,14,commitment_sharpness,1.2724609375
0,cot,15,commitment_sharpness,1.2236328125
0,cot,16,commitment_sharpness,1.2060546875
0,cot,17,commitment_sharpness,1.22265625
0,cot,18,commitment_sharpness,1.3076171875
0,cot,19,commitment_sharpness,1.49609375
0,cot,20,commitment_sharpness,1.5595703125
0,cot,21,commitment_sharpness,1.5126953125
0,cot,22,commitment_sharpness,1.712890625
0,cot,23,commitment_sharpness,1.720703125
0,cot,24,commitment_sharpness,
