comparison,group1,group2,layer,metric,cohens_d,perm_p,significant,n1,n2
CoT Success vs CoT Failure,G4,G3,0,speed,-0.2854742071286651,0.082,False,253,47
CoT Success vs CoT Failure,G4,G3,1,speed,-0.00882015890464487,0.963,False,253,47
CoT Success vs CoT Failure,G4,G3,2,speed,0.42265778988562747,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,3,speed,0.42981948548169135,0.008,True,253,47
CoT Success vs CoT Failure,G4,G3,4,speed,0.4303029042496271,0.008,True,253,47
CoT Success vs CoT Failure,G4,G3,5,speed,0.42789078819520343,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,6,speed,0.42695386132054614,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,7,speed,0.4273587608110013,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,8,speed,0.4232515782990541,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,9,speed,0.4243521295046819,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,10,speed,0.42436313890097693,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,11,speed,0.4237902977031105,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,12,speed,0.4263308907564794,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,13,speed,0.42728070990318395,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,14,speed,0.4269879806448001,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,15,speed,0.4280144394709047,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,16,speed,0.42744179295458024,0.012,True,253,47
CoT Success vs CoT Failure,G4,G3,17,speed,0.4292275299412397,0.011,True,253,47
CoT Success vs CoT Failure,G4,G3,18,speed,0.4308617341851667,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,19,speed,0.4321925268386242,0.007,True,253,47
CoT Success vs CoT Failure,G4,G3,20,speed,0.4356251934716947,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,21,speed,0.4410786425096458,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,22,speed,0.44633882373187667,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,23,speed,0.45340124599992726,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,24,speed,0.4624427864971413,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,25,speed,0.4676901069343625,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,26,speed,0.4809223727908543,0.002,True,253,47
CoT Success vs CoT Failure,G4,G3,27,speed,1.6672328303320603,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,28,speed,0.30717595088691113,0.054,False,253,47
CoT Success vs CoT Failure,G4,G3,0,dir_consistency,0.4032502005857789,0.013,True,253,47
CoT Success vs CoT Failure,G4,G3,1,dir_consistency,1.6425956453154487,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,2,dir_consistency,1.7828809515447666,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,3,dir_consistency,1.5731594560656115,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,4,dir_consistency,1.1954295652349154,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,5,dir_consistency,1.1372393423856586,0.0,True,253,47
CoT Success vs CoT Failure,G4,G3,6,dir_consistency,0.8026958650728425,0.0,True,253,47
