problem_id,condition,group,correct,filename,n_layers,n_tokens,hidden_dim
0,direct,G1,False,0_direct.npy,37,32,2048
0,cot,G4,True,0_cot.npy,37,56,2048
1,direct,G1,False,1_direct.npy,37,32,2048
1,cot,G4,True,1_cot.npy,37,52,2048
2,direct,G1,False,2_direct.npy,37,32,2048
2,cot,G4,True,2_cot.npy,37,66,2048
3,direct,G1,False,3_direct.npy,37,32,2048
3,cot,G3,False,3_cot.npy,37,128,2048
4,direct,G1,False,4_direct.npy,37,32,2048
4,cot,G3,False,4_cot.npy,37,128,2048
5,direct,G1,False,5_direct.npy,37,32,2048
5,cot,G3,False,5_cot.npy,37,128,2048
6,direct,G1,False,6_direct.npy,37,32,2048
6,cot,G3,False,6_cot.npy,37,128,2048
7,direct,G1,False,7_direct.npy,37,32,2048
7,cot,G3,False,7_cot.npy,37,128,2048
8,direct,G1,False,8_direct.npy,37,32,2048
8,cot,G3,False,8_cot.npy,37,128,2048
9,direct,G1,False,9_direct.npy,37,32,2048
9,cot,G3,False,9_cot.npy,37,128,2048
10,direct,G1,False,10_direct.npy,37,32,2048
10,cot,G4,True,10_cot.npy,37,67,2048
11,direct,G1,False,11_direct.npy,37,32,2048
11,cot,G3,False,11_cot.npy,37,128,2048
12,direct,G1,False,12_direct.npy,37,32,2048
12,cot,G3,False,12_cot.npy,37,128,2048
13,direct,G1,False,13_direct.npy,37,31,2048
13,cot,G3,False,13_cot.npy,37,128,2048
14,direct,G1,False,14_direct.npy,37,32,2048
14,cot,G3,False,14_cot.npy,37,128,2048
15,direct,G1,False,15_direct.npy,37,32,2048
15,cot,G3,False,15_cot.npy,37,128,2048
16,direct,G1,False,16_direct.npy,37,32,2048
16,cot,G4,True,16_cot.npy,37,53,2048
17,direct,G1,False,17_direct.npy,37,32,2048
17,cot,G3,False,17_cot.npy,37,128,2048
18,direct,G1,False,18_direct.npy,37,32,2048
18,cot,G3,False,18_cot.npy,37,128,2048
19,direct,G1,False,19_direct.npy,37,32,2048
19,cot,G4,True,19_cot.npy,37,67,2048
20,direct,G1,False,20_direct.npy,37,32,2048
20,cot,G3,False,20_cot.npy,37,128,2048
21,direct,G1,False,21_direct.npy,37,32,2048
21,cot,G3,False,21_cot.npy,37,128,2048
22,direct,G1,False,22_direct.npy,37,32,2048
22,cot,G3,False,22_cot.npy,37,128,2048
23,direct,G1,False,23_direct.npy,37,32,2048
23,cot,G3,False,23_cot.npy,37,122,2048
24,direct,G1,False,24_direct.npy,37,32,2048
24,cot,G3,False,24_cot.npy,37,128,2048
25,direct,G1,False,25_direct.npy,37,32,2048
25,cot,G4,True,25_cot.npy,37,128,2048
26,direct,G1,False,26_direct.npy,37,32,2048
26,cot,G3,False,26_cot.npy,37,128,2048
27,direct,G1,False,27_direct.npy,37,32,2048
27,cot,G3,False,27_cot.npy,37,128,2048
28,direct,G1,False,28_direct.npy,37,32,2048
28,cot,G3,False,28_cot.npy,37,128,2048
29,direct,G1,False,29_direct.npy,37,32,2048
29,cot,G3,False,29_cot.npy,37,128,2048
30,direct,G1,False,30_direct.npy,37,32,2048
30,cot,G3,False,30_cot.npy,37,128,2048
31,direct,G1,False,31_direct.npy,37,32,2048
31,cot,G3,False,31_cot.npy,37,128,2048
32,direct,G1,False,32_direct.npy,37,32,2048
32,cot,G3,False,32_cot.npy,37,128,2048
33,direct,G1,False,33_direct.npy,37,32,2048
33,cot,G3,False,33_cot.npy,37,128,2048
34,direct,G1,False,34_direct.npy,37,32,2048
34,cot,G4,True,34_cot.npy,37,53,2048
35,direct,G1,False,35_direct.npy,37,32,2048
35,cot,G3,False,35_cot.npy,37,128,2048
36,direct,G1,False,36_direct.npy,37,32,2048
36,cot,G3,False,36_cot.npy,37,128,2048
37,direct,G1,False,37_direct.npy,37,32,2048
37,cot,G3,False,37_cot.npy,37,128,2048
38,direct,G1,False,38_direct.npy,37,32,2048
38,cot,G3,False,38_cot.npy,37,128,2048
39,direct,G1,False,39_direct.npy,37,32,2048
39,cot,G3,False,39_cot.npy,37,128,2048
40,direct,G1,False,40_direct.npy,37,32,2048
40,cot,G3,False,40_cot.npy,37,128,2048
41,direct,G1,False,41_direct.npy,37,32,2048
41,cot,G4,True,41_cot.npy,37,117,2048
42,direct,G1,False,42_direct.npy,37,32,2048
42,cot,G3,False,42_cot.npy,37,128,2048
43,direct,G1,False,43_direct.npy,37,32,2048
43,cot,G3,False,43_cot.npy,37,128,2048
44,direct,G1,False,44_direct.npy,37,32,2048
44,cot,G3,False,44_cot.npy,37,128,2048
45,direct,G1,False,45_direct.npy,37,32,2048
45,cot,G3,False,45_cot.npy,37,128,2048
46,direct,G1,False,46_direct.npy,37,32,2048
46,cot,G3,False,46_cot.npy,37,128,2048
47,direct,G1,False,47_direct.npy,37,32,2048
47,cot,G3,False,47_cot.npy,37,128,2048
48,direct,G1,False,48_direct.npy,37,32,2048
48,cot,G3,False,48_cot.npy,37,128,2048
49,direct,G1,False,49_direct.npy,37,32,2048
49,cot,G3,False,49_cot.npy,37,128,2048
50,direct,G1,False,50_direct.npy,37,32,2048
50,cot,G4,True,50_cot.npy,37,69,2048
51,direct,G1,False,51_direct.npy,37,32,2048
51,cot,G3,False,51_cot.npy,37,128,2048
52,direct,G1,False,52_direct.npy,37,32,2048
52,cot,G3,False,52_cot.npy,37,128,2048
53,direct,G1,False,53_direct.npy,37,32,2048
53,cot,G3,False,53_cot.npy,37,128,2048
54,direct,G1,False,54_direct.npy,37,32,2048
54,cot,G3,False,54_cot.npy,37,128,2048
55,direct,G1,False,55_direct.npy,37,32,2048
