layer,auc_cot_isolated,auc_dir_isolated,auc_regime_only,auc_geom_only,auc_full_model
0,0.6745664242875048,,0.5,0.6745664242875048,0.6744386567943762
1,0.5730960506917865,,0.5,0.5730960506917865,0.5732213639749946
2,0.6283350695179574,,0.5,0.6283350695179574,0.6283350695179574
3,0.6634322983041236,,0.5,0.6634322983041236,0.6634322983041236
4,0.6314062570045565,,0.5,0.6314062570045565,0.6319104679112756
5,0.6273571587305946,,0.5,0.6273571587305946,0.627354594775951
6,0.7295875399322137,,0.5,0.7295875399322137,0.7297179811247091
7,0.7385535004233099,,0.5,0.7385535004233099,0.7385535004233099
8,0.7124439408043574,,0.5,0.7124439408043574,0.71257020343062
9,0.7140797773643754,,0.5,0.7140797773643754,0.7142050906475834
10,0.7120247007074869,,0.5,0.7120247007074869,0.7118993874242789
11,0.7399542796485011,,0.5,0.7399542796485011,0.7399542796485011
12,0.7465425053348089,,0.5,0.7465425053348089,0.7465425053348089
13,0.7721404598473408,,0.5,0.7721404598473408,0.7722661669497921
14,0.7609221506834413,,0.5,0.7609221506834413,0.7609221506834413
15,0.7474458263759775,,0.5,0.7474458263759775,0.7475711396591855
16,0.7845848943892595,,0.5,0.7845848943892595,0.7848374196417848
17,0.6412517261950814,,0.5,0.6412517261950814,0.6411216788218294
18,0.7436200097866978,,0.5,0.7436200097866978,0.7434921325488462
19,0.7295530289884986,,0.5,0.7295530289884986,0.7295530289884986
20,0.7105273356418303,,0.5,0.7105273356418303,0.7102715811661271
21,0.7489863182838856,,0.5,0.7489863182838856,0.7489863182838856
22,0.7663721222651969,,0.5,0.7663721222651969,0.7663721222651969
23,0.7689301438768096,,0.5,0.7689301438768096,0.7689301438768096
24,0.7827252750864101,,0.5,0.7827252750864101,0.7827252750864101
