layer,metric,d_direct,d_cot,p_direct,p_cot
0,full_effective_dimension,1.3412519531967468,-0.3581216974260231,1.9396078865358807e-35,0.0432602087123619
0,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
0,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
0,clean_effective_dimension,1.3085254366306518,-0.3514569326099052,3.197242573617696e-32,0.0461659015866494
1,full_turn_angle,0.3231094697017743,-0.6904020424328112,0.0008388476086547,0.0051650591508265
1,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
1,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
1,clean_turn_angle,0.2682735040906174,-0.6486336218152383,0.0055525334445127,0.0088813767378949
2,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
2,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
3,full_turn_angle,0.2042479517880675,-0.6648138699413467,0.048112139005943,0.0048290880808941
3,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
3,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
4,full_turn_angle,0.5431835735109692,-0.7483941489689565,1.6597846009453013e-07,0.0019696000677145
4,full_radius_of_gyration,1.6476518711315775,-0.5945461819188012,2.310738355447491e-42,0.0012890375115187
4,full_commitment_sharpness,0.6461651321267023,-0.2844612087083075,2.599347744197986e-07,0.0261798316640225
4,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
4,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
4,clean_turn_angle,0.4794805467735337,-0.702089962247411,3.3566250669065902e-06,0.0034303190873329
4,clean_radius_of_gyration,1.4010622748619803,-0.5481468284510284,1.927026506098883e-34,0.0025432210854463
4,clean_commitment_sharpness,0.630982279629725,-0.2741665496658838,4.832106891568196e-07,0.0322346628463113
5,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
5,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
