layer,auc_raw,auc_pcr,auc_gain
0,0.6591537474079194,0.7781534041482694,0.11899965674034996
1,0.6954903675699567,0.7781534041482694,0.08266303657831264
2,0.6975995335430509,0.778529108888544,0.08092957534549305
3,0.6669309295753455,0.7789052838475174,0.11197435427217195
4,0.6998918496992952,0.7792812236971416,0.0793893739978464
5,0.7004902029934122,0.7795318502635575,0.07904164727014529
6,0.7373254900854387,0.7791559104139335,0.04183042032849482
7,0.6994916935866871,0.7789055189568668,0.07941382537017971
8,0.7085067264784851,0.7790308322400749,0.07052410576158974
9,0.7062527331461863,0.7791561455232829,0.07290341237709663
10,0.7053748348356821,0.7791561455232829,0.07378131068760085
11,0.7097619752947095,0.7789055189568669,0.06914354366215736
12,0.7831720483196735,0.7787802056736589,-0.004391842646014554
13,0.7761613226311558,0.7786548923904508,0.0024935697592950445
14,0.7840553541452129,0.7794065369803496,-0.004648817164863317
15,0.7733999633229415,0.7790305971307255,0.005630633807784058
16,0.7998300159404138,0.7792812236971416,-0.020548792243272218
17,0.7953286123375982,0.7796569284374162,-0.015671683900182032
18,0.7717791194684647,0.7790305971307255,0.007251477662260863
19,0.7380816017529753,0.7792812236971416,0.041199621944166265
20,0.7264234695556904,0.7805341214198723,0.05411065186418196
21,0.7431992269604594,0.779907319894483,0.03670809293402366
22,0.7596157372794087,0.780157946460899,0.0205422091814903
23,0.7707547480333103,0.7787797354549602,0.00802498742164981
24,0.7455691292019918,0.7782787174314774,0.03270958822948555
