metric,avg_abs_cohen_d,min_abs_cohen_d
clean_phase_count,31.66420701450427,4.3675632058889455
clean_radius_of_gyration,13.992430177346607,8.689009444270503
clean_effective_dimension,12.009298309168658,6.021274333150128
full_radius_of_gyration,10.158865848829558,9.097008960128864
full_commitment_sharpness,9.830862960547222,2.669943708408139
full_phase_count,7.8852553892074555,4.572919048176165
full_effective_dimension,7.107706000089657,6.225630325381722
clean_tortuosity,6.930265470815961,6.333956793245316
clean_dir_consistency,6.454363921544431,5.536676949004109
full_speed,6.318628972576914,4.057851267480288
full_cos_slope_to_final,6.0667343310002915,4.928457917293586
full_time_to_commit,5.954244758407455,5.090085881830011
clean_speed,5.19104501541728,4.082780149549592
full_dir_consistency,4.883799209512332,2.0747746279383836
full_fractal_dimension,4.615075561569493,3.0896098956183007
full_tortuosity,4.520353488363605,2.109028138403219
full_stabilisation,4.456995613144099,3.100705549520013
clean_stabilisation,4.335188492816508,3.0715227688971005
clean_turn_angle,2.7516261571198406,2.439147606540908
