id,bin,op_type,a,b,c,question,truth,intermediate,answer_sign,answer_digits
0,UltraSmall,A,2,2,2,(2 * 2) + 2,6,4,positive,1
1,UltraSmall,B,5,4,1,(5 * 4) - 1,19,20,positive,2
2,UltraSmall,C,1,1,2,1 * (1 + 2),3,3,positive,1
3,UltraSmall,D,1,5,2,1 * (5 - 2),3,3,positive,1
4,UltraSmall,A,5,4,2,(5 * 4) + 2,22,20,positive,2
5,UltraSmall,B,4,5,3,(4 * 5) - 3,17,20,positive,2
6,UltraSmall,C,1,2,4,1 * (2 + 4),6,6,positive,1
7,UltraSmall,D,1,4,1,1 * (4 - 1),3,3,positive,1
8,UltraSmall,A,3,3,5,(3 * 3) + 5,14,9,positive,2
9,UltraSmall,B,5,3,5,(5 * 3) - 5,10,15,positive,2
10,UltraSmall,C,2,3,1,2 * (3 + 1),8,4,positive,1
11,UltraSmall,D,2,1,4,2 * (1 - 4),-6,-3,negative,1
12,UltraSmall,A,3,4,3,(3 * 4) + 3,15,12,positive,2
13,UltraSmall,B,2,3,1,(2 * 3) - 1,5,6,positive,1
14,UltraSmall,C,5,2,5,5 * (2 + 5),35,7,positive,2
15,UltraSmall,D,2,2,4,2 * (2 - 4),-4,-2,negative,1
16,UltraSmall,A,4,3,5,(4 * 3) + 5,17,12,positive,2
17,UltraSmall,B,2,3,1,(2 * 3) - 1,5,6,positive,1
18,UltraSmall,C,2,1,3,2 * (1 + 3),8,4,positive,1
19,UltraSmall,D,4,3,1,4 * (3 - 1),8,2,positive,1
20,UltraSmall,A,2,5,3,(2 * 5) + 3,13,10,positive,2
21,UltraSmall,B,4,2,3,(4 * 2) - 3,5,8,positive,1
22,UltraSmall,C,2,2,5,2 * (2 + 5),14,7,positive,2
23,UltraSmall,D,5,3,5,5 * (3 - 5),-10,-2,negative,2
24,UltraSmall,A,4,5,4,(4 * 5) + 4,24,20,positive,2
25,UltraSmall,B,3,2,2,(3 * 2) - 2,4,6,positive,1
26,UltraSmall,C,1,1,2,1 * (1 + 2),3,3,positive,1
27,UltraSmall,D,2,4,5,2 * (4 - 5),-2,-1,negative,1
28,UltraSmall,A,5,4,5,(5 * 4) + 5,25,20,positive,2
29,UltraSmall,B,3,5,1,(3 * 5) - 1,14,15,positive,2
30,UltraSmall,C,1,5,3,1 * (5 + 3),8,8,positive,1
31,UltraSmall,D,3,1,3,3 * (1 - 3),-6,-2,negative,1
32,UltraSmall,A,4,2,4,(4 * 2) + 4,12,8,positive,2
33,UltraSmall,B,2,5,1,(2 * 5) - 1,9,10,positive,1
34,UltraSmall,C,3,5,5,3 * (5 + 5),30,10,positive,2
35,UltraSmall,D,2,2,3,2 * (2 - 3),-2,-1,negative,1
36,UltraSmall,A,2,5,5,(2 * 5) + 5,15,10,positive,2
37,UltraSmall,B,3,3,2,(3 * 3) - 2,7,9,positive,1
38,UltraSmall,C,1,2,5,1 * (2 + 5),7,7,positive,1
39,UltraSmall,D,1,1,4,1 * (1 - 4),-3,-3,negative,1
40,UltraSmall,A,2,4,5,(2 * 4) + 5,13,8,positive,2
